round,hamming_acc,macro_f1,auroc,auprc,seconds,comm_mb,scenario,method,alpha,clients,train_subset,rounds,batch,freeze_text,freeze_image
0,0.9311904761904762,0.08557411429855442,0.852463223176298,0.3883060756010825,483.6,,1,fedavg,1.0,4,2670,40,8,False,False
1,0.9507142857142857,0.2540423459079207,0.9182978104115046,0.47435458248584844,484.9,,1,fedavg,1.0,4,2670,40,8,False,False
2,0.9688095238095238,0.4216372119903436,0.9470309964455693,0.6540508415599848,483.9,,1,fedavg,1.0,4,2670,40,8,False,False
3,0.9733333333333334,0.5198482332663461,0.9613937388571674,0.6814655954555702,486.4,,1,fedavg,1.0,4,2670,40,8,False,False
4,0.979047619047619,0.5940894887621492,0.9699392848873368,0.7253085802891049,485.1,,1,fedavg,1.0,4,2670,40,8,False,False
5,0.9826190476190476,0.617757870625513,0.9720477815604414,0.7414824136897417,484.2,,1,fedavg,1.0,4,2670,40,8,False,False
6,0.9807142857142858,0.6291710357905733,0.9703226857548172,0.7194617492240124,484.7,,1,fedavg,1.0,4,2670,40,8,False,False
7,0.9816666666666667,0.6144674309870584,0.9733252133129007,0.7124932341637875,485.2,,1,fedavg,1.0,4,2670,40,8,False,False
8,0.9814285714285714,0.6476603113728212,0.9739260060514867,0.717764688335967,486.0,,1,fedavg,1.0,4,2670,40,8,False,False
9,0.9816666666666667,0.6753485186744973,0.9737909030956635,0.7069631665250402,486.6,,1,fedavg,1.0,4,2670,40,8,False,False
10,0.9847619047619047,0.7071423765200069,0.9794705641116586,0.756541128972411,487.8,,1,fedavg,1.0,4,2670,40,8,False,False
11,0.9833333333333333,0.6837899373193974,0.9725287576347182,0.7309940802589457,487.2,,1,fedavg,1.0,4,2670,40,8,False,False
12,0.9838095238095238,0.6416246098215933,0.9682358168239177,0.748582284586527,487.6,,1,fedavg,1.0,4,2670,40,8,False,False
13,0.9835714285714285,0.6879631941923239,0.9655169279616319,0.7280690885270898,487.6,,1,fedavg,1.0,4,2670,40,8,False,False
14,0.9845238095238096,0.6827957121477412,0.9718165917035122,0.7298680922554331,488.7,,1,fedavg,1.0,4,2670,40,8,False,False
15,0.9852380952380952,0.696372724162148,0.9725922093076864,0.7546993084854606,487.7,,1,fedavg,1.0,4,2670,40,8,False,False
16,0.981904761904762,0.6259348494470462,0.9663884494522196,0.6895253484124204,487.9,,1,fedavg,1.0,4,2670,40,8,False,False
17,0.9811904761904762,0.6175088476208213,0.9710452708791221,0.7025665668809773,487.7,,1,fedavg,1.0,4,2670,40,8,False,False
18,0.9828571428571429,0.6322130557323219,0.9730013752563225,0.7247734391112074,488.1,,1,fedavg,1.0,4,2670,40,8,False,False
19,0.9823809523809524,0.6296054531165205,0.9714852853071622,0.6874513095321707,488.1,,1,fedavg,1.0,4,2670,40,8,False,False
20,0.9823809523809524,0.6488607584287954,0.9424474664036879,0.6921867015575316,488.3,,1,fedavg,1.0,4,2670,40,8,False,False
21,0.9804761904761905,0.6249894568639718,0.9528055557699247,0.6922382932150604,487.0,,1,fedavg,1.0,4,2670,40,8,False,False
22,0.9830952380952381,0.6594358695554532,0.956568483963027,0.691890365518761,487.1,,1,fedavg,1.0,4,2670,40,8,False,False
23,0.9826190476190476,0.6373125243840155,0.9594189502244745,0.682325317146845,486.5,,1,fedavg,1.0,4,2670,40,8,False,False
24,0.9823809523809524,0.6731321586684652,0.9489337957331447,0.7205308583595618,488.2,,1,fedavg,1.0,4,2670,40,8,False,False
25,0.9811904761904762,0.6451807407010429,0.962665908197208,0.6893079016333303,487.3,,1,fedavg,1.0,4,2670,40,8,False,False
26,0.9785714285714285,0.6105348857949374,0.9400143816487793,0.6416000172811283,487.6,,1,fedavg,1.0,4,2670,40,8,False,False
27,0.9816666666666667,0.6296570444079905,0.9690279303160476,0.6916468814607573,487.1,,1,fedavg,1.0,4,2670,40,8,False,False
28,0.9811904761904762,0.64901190974484,0.9642751626931042,0.6927627286603733,489.1,,1,fedavg,1.0,4,2670,40,8,False,False
29,0.981904761904762,0.6687621539967444,0.9550533825513596,0.7052808839648701,491.3,,1,fedavg,1.0,4,2670,40,8,False,False
30,0.9809523809523809,0.6191525672187067,0.9092335473581085,0.6984860177898392,488.4,,1,fedavg,1.0,4,2670,40,8,False,False
31,0.9828571428571429,0.6693971644140077,0.9601084191587124,0.7152725326800726,487.0,,1,fedavg,1.0,4,2670,40,8,False,False
32,0.9814285714285714,0.6239069916091972,0.9438689301646311,0.6779657472556373,487.4,,1,fedavg,1.0,4,2670,40,8,False,False
33,0.9814285714285714,0.6293685717553271,0.9523311518607985,0.6777109386480541,488.9,,1,fedavg,1.0,4,2670,40,8,False,False
34,0.981904761904762,0.6184304333474524,0.9605177518208003,0.6698682388680266,487.9,,1,fedavg,1.0,4,2670,40,8,False,False
35,0.981904761904762,0.6249049810264927,0.9521878739321598,0.6701875726675575,488.1,,1,fedavg,1.0,4,2670,40,8,False,False
36,0.9761904761904762,0.5823338550315366,0.9107968550026107,0.6043093926929717,488.4,,1,fedavg,1.0,4,2670,40,8,False,False
37,0.9816666666666667,0.6241938092350889,0.9664549485482875,0.6690427894512445,488.6,,1,fedavg,1.0,4,2670,40,8,False,False
38,0.9816666666666667,0.6360007606302799,0.9599338786118113,0.659725292066802,486.7,,1,fedavg,1.0,4,2670,40,8,False,False
39,0.9847619047619047,0.6394774578589375,0.9633538693178593,0.6760266195892578,487.9,,1,fedavg,1.0,4,2670,40,8,False,False
